player_name,ktc_value,ktc_rank,age,fc_value,fc_rank,fc_rank_overall,draft_age,draft_year,pos,rnd,pick,fp_value,team_id,team_name,rank_diff,value_avg
Patrick Mahomes,9999,1,27.7,11933,QB1,1,21,2017,QB,1,10,83,10,Pablo and the Stallions,0,10966
Josh Allen,9941,2,27,10416,QB3,3,22,2018,QB,1,7,83,6,The Scene Worships Me,-1,10178.5
Justin Jefferson,9626,3,24,9787,WR1,4,21,2020,WR,1,22,73,3,The Serle Brothers,-1,9706.5
Jalen Hurts,9606,4,24.8,10682,QB2,2,22,2020,QB,2,53,80,7,A Team of Chance,2,10144
Joe Burrow,9130,5,26.5,8718,QB4,5,23,2020,QB,1,1,78,1,JoJos Bizzare Massage,0,8924
Ja'Marr Chase,8591,6,23.3,8159,WR2,7,21,2021,WR,1,5,72,3,The Serle Brothers,-1,8375
Justin Herbert,8163,7,25.2,8380,QB5,6,22,2020,QB,1,6,72,8,Kissy Boy Jones,1,8271.5
Bijan Robinson,7874,8,21.4,7533,RB1,9,NA,NA,NA,NA,NA,70,4,Howling for Chubb,-1,7703.5
Trevor Lawrence,7812,9,23.7,7444,QB7,10,21,2021,QB,1,1,71,5,HorseWomen of Color,-1,7628
Lamar Jackson,7653,10,26.4,7935,QB6,8,21,2018,QB,1,32,68,2,DirtyDan113,2,7794
CeeDee Lamb,6793,11,24.2,6336,WR3,13,21,2020,WR,1,17,70,7,A Team of Chance,-2,6564.5
Justin Fields,6765,12,24.3,6450,QB8,12,22,2021,QB,1,11,73,4,Howling for Chubb,0,6607.5
Garrett Wilson,6755,13,22.9,5989,WR4,15,22,2022,WR,1,10,60,10,Pablo and the Stallions,-2,6372
A.J. Brown,6704,14,25.9,5957,WR5,16,22,2019,WR,2,51,69,1,JoJos Bizzare Massage,-2,6330.5
Jaylen Waddle,6321,15,24.5,5521,WR6,19,22,2021,WR,1,6,67,2,DirtyDan113,-4,5921
Amon-Ra St. Brown,6206,16,23.6,5255,WR7,23,21,2021,WR,4,112,65,9,The Millennium Beer,-7,5730.5
Breece Hall,6196,17,22,5412,RB4,22,21,2022,RB,2,36,66,6,The Scene Worships Me,-5,5804
Anthony Richardson,6187,18,21,5828,QB9,17,NA,NA,NA,NA,NA,47,3,The Serle Brothers,1,6007.5
Chris Olave,6060,19,22.9,5025,WR8,25,22,2022,WR,1,11,62,8,Kissy Boy Jones,-6,5542.5
Jonathan Taylor,5998,20,24.4,5492,RB2,20,21,2020,RB,2,41,73,9,The Millennium Beer,0,5745
2024 Early 1st,5870,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023 Early 1st,5804,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,5763,23,27,5472,RB3,21,21,2017,RB,1,8,64,6,The Scene Worships Me,2,5617.5
Bryce Young,5739,24,21.9,4588,QB11,32,NA,NA,NA,NA,NA,53,8,Kissy Boy Jones,-8,5163.5
DeVonta Smith,5593,25,24.6,4118,WR13,42,22,2021,WR,1,10,56,10,Pablo and the Stallions,-17,4855.5
Jahmyr Gibbs,5543,26,21.2,4692,RB5,30,NA,NA,NA,NA,NA,44,5,HorseWomen of Color,-4,5117.5
Deshaun Watson,5520,27,27.7,5575,QB10,18,21,2017,QB,1,12,62,1,JoJos Bizzare Massage,9,5547.5
Tyreek Hill,5502,28,29.3,4729,WR9,29,22,2016,WR,5,165,66,8,Kissy Boy Jones,-1,5115.5
Tee Higgins,5501,29,24.4,4230,WR11,40,21,2020,WR,2,33,52,7,A Team of Chance,-11,4865.5
Drake London,5500,30,21.9,3900,WR15,47,21,2022,WR,1,8,58,7,A Team of Chance,-17,4700
Mark Andrews,5476,31,27.8,4731,TE2,28,23,2018,TE,3,86,51,5,HorseWomen of Color,3,5103.5
Kyle Pitts,5468,32,22.7,4966,TE1,26,20,2021,TE,1,4,55,10,Pablo and the Stallions,6,5217
DK Metcalf,5466,33,25.5,4180,WR12,41,21,2019,WR,2,64,54,9,The Millennium Beer,-8,4823
C.J. Stroud,5461,34,21.7,4309,QB13,37,NA,NA,NA,NA,NA,54,4,Howling for Chubb,-3,4885
Jaxon Smith-Njigba,5444,35,21.3,4093,WR14,43,NA,NA,NA,NA,NA,49,10,Pablo and the Stallions,-8,4768.5
Saquon Barkley,5437,36,26.3,4679,RB6,31,21,2018,RB,1,2,67,5,HorseWomen of Color,5,5058
Kyler Murray,5436,37,25.8,4449,QB12,34,22,2019,QB,1,1,60,3,The Serle Brothers,3,4942.5
Travis Kelce,5227,38,33.7,4528,TE3,33,23,2013,TE,3,63,53,5,HorseWomen of Color,5,4877.5
Stefon Diggs,5154,39,29.5,4304,WR10,38,21,2015,WR,5,146,63,5,HorseWomen of Color,1,4729
Dak Prescott,5145,40,29.9,4246,QB14,39,23,2016,QB,4,135,61,2,DirtyDan113,1,4695.5
Travis Etienne,5105,41,24.4,3790,RB10,50,22,2021,RB,1,25,61,1,JoJos Bizzare Massage,-9,4447.5
Kenneth Walker,5086,42,22.6,3798,RB9,49,21,2022,RB,2,41,68,2,DirtyDan113,-7,4442
Tua Tagovailoa,5023,43,25.3,4052,QB15,45,22,2020,QB,1,5,53,9,The Millennium Beer,-2,4537.5
Cooper Kupp,4914,44,30,3733,WR17,51,24,2017,WR,3,69,55,6,The Scene Worships Me,-7,4323.5
Josh Jacobs,4905,45,25.3,3979,RB8,46,21,2019,RB,1,24,54,8,Kissy Boy Jones,-1,4442
2025 Early 1st,4900,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023 Mid 1st,4867,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Jones,4850,48,26,3588,QB16,52,22,2019,QB,1,6,43,10,Pablo and the Stallions,-4,4219
2024 Mid 1st,4823,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Addison,4817,50,21.4,2869,WR22,72,NA,NA,NA,NA,NA,51,3,The Serle Brothers,-22,3843
Rhamondre Stevenson,4797,51,25.3,3362,RB14,56,23,2021,RB,4,120,58,7,A Team of Chance,-5,4079.5
Davante Adams,4757,52,30.5,3847,WR16,48,21,2014,WR,2,53,59,6,The Scene Worships Me,4,4302
Najee Harris,4753,53,25.2,3516,RB11,53,23,2021,RB,1,24,50,3,The Serle Brothers,0,4134.5
