player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,rank_diff,avg_norm,avg_norm_rank,norm_value_drop,draft_year,rnd,pick,team_name
Patrick Mahomes,10000,10000,1,QB,1,0,10000,1,NA,2017,1,10,Pablo and the Stallions
Justin Jefferson,9480,9461,4,WR,2,2,9470.5,2,-529.5,2020,1,22,The Serle Brothers
Josh Allen,9895,7715,2,QB,4,-2,8805,3,-665.5,2018,1,7,The Scene Worships Me
Jalen Hurts,9565,7525,3,QB,6,-3,8545,4,-260,2020,2,53,A Team of Chance
Joe Burrow,9095,7704,5,QB,5,0,8399.5,5,-145.5,2020,1,1,JoJos Bizzare Massage
Ja'Marr Chase,8365,7716,6,WR,3,3,8040.5,6,-359,2021,1,5,The Serle Brothers
Bijan Robinson,7652,7055,9,RB,8,1,7353.5,7,-687,NA,NA,NA,Howling for Chubb
Lamar Jackson,7570,6668,10,QB,9,1,7119,8,-234.5,2018,1,32,DirtyDan113
Justin Herbert,8018,6040,7,QB,10,-3,7029,9,-90,2020,1,6,Kissy Boy Jones
Trevor Lawrence,7838,5184,8,QB,20,-12,6511,10,-518,2021,1,1,HorseWomen of Color
CeeDee Lamb,6672,5659,12,WR,12,0,6165.5,11,-345.5,2020,1,17,A Team of Chance
A.J. Brown,6599,5542,13,WR,14,-1,6070.5,12,-95,2019,2,51,JoJos Bizzare Massage
Justin Fields,6727,5326,11,QB,18,-7,6026.5,13,-44,2021,1,11,Howling for Chubb
Garrett Wilson,6589,5443,14,WR,16,-2,6016,14,-10.5,2022,1,10,Pablo and the Stallions
Breece Hall,6141,5648,16,RB,13,3,5894.5,15,-121.5,2022,2,36,The Scene Worships Me
Anthony Richardson,6102,5381,17,QB,17,0,5741.5,16,-153,NA,NA,NA,The Serle Brothers
Christian McCaffrey,5817,5538,23,RB,15,8,5677.5,17,-64,2017,1,8,The Scene Worships Me
Jaylen Waddle,6141,5048,15,WR,23,-8,5594.5,18,-83,2021,1,6,DirtyDan113
Amon-Ra St. Brown,5949,5170,18,WR,22,-4,5559.5,19,-35,2021,4,112,The Millennium Beer
Jonathan Taylor,5896,5179,21,RB,21,0,5537.5,20,-22,2020,2,41,The Millennium Beer
Chris Olave,5921,4309,20,WR,29,-9,5115,21,-422.5,2022,1,11,Kissy Boy Jones
Tyreek Hill,5288,4669,36,WR,24,12,4978.5,22,-136.5,2016,5,165,Kissy Boy Jones
Jahmyr Gibbs,5611,4258,25,RB,30,-5,4934.5,23,-44,NA,NA,NA,HorseWomen of Color
Saquon Barkley,5245,4572,37,RB,26,11,4908.5,24,-26,2018,1,2,HorseWomen of Color
Bryce Young,5812,3990,24,QB,39,-15,4901,25,-7.5,NA,NA,NA,Kissy Boy Jones
Deshaun Watson,5332,4386,32,QB,28,4,4859,26,-42,2017,1,12,JoJos Bizzare Massage
Mark Andrews,5302,4402,35,TE,27,8,4852,27,-7,2018,3,86,HorseWomen of Color
DeVonta Smith,5388,4256,27,WR,31,-4,4822,28,-30,2021,1,10,Pablo and the Stallions
Drake London,5373,4246,30,WR,32,-2,4809.5,29,-12.5,2022,1,8,A Team of Chance
Tee Higgins,5375,4174,29,WR,33,-4,4774.5,30,-35,2020,2,33,A Team of Chance
Kyle Pitts,5377,4144,28,TE,37,-9,4760.5,31,-14,2021,1,4,Pablo and the Stallions
Travis Kelce,5204,4157,39,TE,34,5,4680.5,32,-80,2013,3,63,HorseWomen of Color
Stefon Diggs,5192,4147,40,WR,35,5,4669.5,33,-11,2015,5,146,HorseWomen of Color
Jaxon Smith-Njigba,5313,3848,34,WR,42,-8,4580.5,34,-89,NA,NA,NA,Pablo and the Stallions
Travis Etienne,5150,3883,41,RB,41,0,4516.5,35,-64,2021,1,25,JoJos Bizzare Massage
DK Metcalf,5365,3596,31,WR,46,-15,4480.5,36,-36,2019,2,64,The Millennium Beer
Kenneth Walker,5083,3818,42,RB,43,-1,4450.5,37,-30,2022,2,41,DirtyDan113
Kyler Murray,5326,3569,33,QB,47,-14,4447.5,38,-3,2019,1,1,The Serle Brothers
C.J. Stroud,5425,3392,26,QB,49,-23,4408.5,39,-39,NA,NA,NA,Howling for Chubb
Davante Adams,4660,4118,50,WR,38,12,4389,40,-19.5,2014,2,53,The Scene Worships Me
Cooper Kupp,4800,3734,44,WR,45,-1,4267,41,-122,2017,3,69,The Scene Worships Me
Austin Ekeler,4622,3888,53,RB,40,13,4255,42,-12,NA,NA,NA,DirtyDan113
Dak Prescott,5242,3148,38,QB,54,-16,4195,43,-60,2016,4,135,DirtyDan113
Josh Jacobs,4780,3484,45,RB,48,-3,4132,44,-63,2019,1,24,Kissy Boy Jones
Najee Harris,4657,3332,51,RB,50,1,3994.5,45,-137.5,2021,1,24,The Serle Brothers
Tua Tagovailoa,4802,3168,43,QB,52,-9,3985,46,-9.5,2020,1,5,The Millennium Beer
Rhamondre Stevenson,4576,3262,55,RB,51,4,3919,47,-66,2021,4,120,A Team of Chance
Tony Pollard,4712,2968,46,RB,60,-14,3840,48,-79,2019,4,128,The Scene Worships Me
Daniel Jones,4593,3045,54,QB,57,-3,3819,49,-21,2019,1,6,Pablo and the Stallions
Jordan Addison,4645,2963,52,WR,61,-9,3804,50,-15,NA,NA,NA,The Serle Brothers
T.J. Hockenson,4540,3051,57,TE,56,1,3795.5,51,-8.5,2019,1,8,JoJos Bizzare Massage
Nick Chubb,4373,3118,60,RB,55,5,3745.5,52,-50,2018,2,35,Howling for Chubb
Javonte Williams,4447,2979,58,RB,59,-1,3713,53,-32.5,2021,2,35,The Millennium Beer
D.J. Moore,4394,2856,59,WR,64,-5,3625,54,-88,2018,1,24,The Scene Worships Me
