player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,,
Patrick Mahomes,10000,10000,1,QB,1,10000,9900,1,NA,2017,1,10,Pablo and the Stallions,,a,39291.78,1779.3325,,
Justin Jefferson,9480,9461,4,WR,2,9470.5,9372.66,2,-527.34,2020,1,22,The Serle Brothers,,b,38934.39,1421.9425,,
Josh Allen,9895,7715,2,QB,4,8805,8357.25,3,-1015.41,2018,1,7,The Scene Worships Me,,c,37879.71,367.2625,,
Jalen Hurts,9565,7525,3,QB,6,8545,8122.95,4,-234.3,2020,2,53,A Team of Chance,,d,37692.6,180.1525,,37512.4475
Joe Burrow,9095,7704,5,QB,5,8399.5,8085.99,5,-36.96,2020,1,1,JoJos Bizzare Massage,,e,38085.96,573.5125,,
Ja'Marr Chase,8365,7716,6,WR,3,8040.5,7853.01,6,-232.98,2021,1,5,The Serle Brothers,,f,37827.9,315.4525,,
Bijan Robinson,7652,7055,9,RB,8,7353.5,7181.46,7,-671.55,NA,NA,NA,Howling for Chubb,,me,37290.99,-221.4575,,
Lamar Jackson,7570,6668,10,QB,9,7119,6898.98,8,-282.48,2018,1,32,DirtyDan113,,h,37201.56,-310.8875,,
Justin Herbert,8018,6040,7,QB,10,7029,6632.34,9,-266.64,2020,1,6,Kissy Boy Jones,,i,36925.68,-586.7675,,
Trevor Lawrence,7838,5184,8,QB,20,6511,6007.98,10,-624.36,2021,1,1,HorseWomen of Color,,j,36338.28,-1174.1675,,
CeeDee Lamb,6672,5659,12,WR,12,6165.5,5936.7,11,-71.28,2020,1,17,A Team of Chance,,k,36338.61,-1173.8375,,
A.J. Brown,6599,5542,13,WR,14,6070.5,5835.39,12,-101.31,2019,2,51,JoJos Bizzare Massage,,l,36341.91,-1170.5375,,
Garrett Wilson,6589,5443,14,WR,16,6016,5766.75,13,-68.64,2022,1,10,Pablo and the Stallions,,l,,,,
Breece Hall,6141,5648,16,RB,13,5894.5,5754.21,14,-12.54,2022,2,36,The Scene Worships Me,,k,,,,
Justin Fields,6727,5326,11,QB,18,6026.5,5735.07,15,-19.14,2021,1,11,Howling for Chubb,,j,,,,
Christian McCaffrey,5817,5538,23,RB,15,5677.5,5574.69,16,-160.38,2017,1,8,The Scene Worships Me,,i,,,,
Anthony Richardson,6102,5381,17,QB,17,5741.5,5565.12,17,-9.57,NA,NA,NA,The Serle Brothers,,h,,,,
Amon-Ra St. Brown,5949,5170,18,WR,22,5559.5,5375.37,18,-189.75,2021,4,112,The Millennium Beer,,me,,,,
Jonathan Taylor,5896,5179,21,RB,21,5537.5,5363.82,19,-11.55,2020,2,41,The Millennium Beer,,f,,,,
Jaylen Waddle,6141,5048,15,WR,23,5594.5,5358.21,20,-5.61,2021,1,6,DirtyDan113,,e,,,,
Tyreek Hill,5288,4669,36,WR,24,4978.5,4826.58,21,-531.63,2016,5,165,Kissy Boy Jones,,d,,,,
Chris Olave,5921,4309,20,WR,29,5115,4797.87,22,-28.71,2022,1,11,Kissy Boy Jones,,c,,,,
Saquon Barkley,5245,4572,37,RB,26,4908.5,4748.37,23,-49.5,2018,1,2,HorseWomen of Color,,b,,,,
Jahmyr Gibbs,5611,4258,25,RB,30,4934.5,4661.91,24,-86.46,NA,NA,NA,HorseWomen of Color,,a,,,,
Mark Andrews,5302,4402,35,TE,27,4852,4654.98,25,-6.93,2018,3,86,HorseWomen of Color,,a,,,,
Deshaun Watson,5332,4386,32,QB,28,4859,4654.32,26,-0.66,2017,1,12,JoJos Bizzare Massage,,b,,,,
DeVonta Smith,5388,4256,27,WR,31,4822,4587,27,-67.32,2021,1,10,Pablo and the Stallions,,c,,,,
Drake London,5373,4246,30,WR,32,4809.5,4575.45,28,-11.55,2022,1,8,A Team of Chance,,d,,,,
Bryce Young,5812,3990,24,QB,39,4901,4551.36,29,-24.09,NA,NA,NA,Kissy Boy Jones,,e,,,,
Tee Higgins,5375,4174,29,WR,33,4774.5,4528.59,30,-22.77,2020,2,33,A Team of Chance,,f,,,,
Kyle Pitts,5377,4144,28,TE,37,4760.5,4509.45,31,-19.14,2021,1,4,Pablo and the Stallions,,me,,,,
Travis Kelce,5204,4157,39,TE,34,4680.5,4460.94,32,-48.51,2013,3,63,HorseWomen of Color,,h,,,,
Stefon Diggs,5192,4147,40,WR,35,4669.5,4450.38,33,-10.56,2015,5,146,HorseWomen of Color,,i,,,,
Jaxon Smith-Njigba,5313,3848,34,WR,42,4580.5,4292.97,34,-157.41,NA,NA,NA,Pablo and the Stallions,,j,,,,
Travis Etienne,5150,3883,41,RB,41,4516.5,4262.28,35,-30.69,2021,1,25,JoJos Bizzare Massage,,k,,,,
Davante Adams,4660,4118,50,WR,38,4389,4255.68,36,-6.6,2014,2,53,The Scene Worships Me,,l,,,,
Kenneth Walker,5083,3818,42,RB,43,4450.5,4197.27,37,-58.41,2022,2,41,DirtyDan113,,l,,,,
DK Metcalf,5365,3596,31,WR,46,4480.5,4143.81,38,-53.46,2019,2,64,The Millennium Beer,,k,,,,
Kyler Murray,5326,3569,33,QB,47,4447.5,4113.12,39,-30.69,2019,1,1,The Serle Brothers,,j,,,,
Austin Ekeler,4622,3888,53,RB,40,4255,4091.34,40,-21.78,NA,NA,NA,DirtyDan113,,i,,,,
Cooper Kupp,4800,3734,44,WR,45,4267,4048.44,41,-42.9,2017,3,69,The Scene Worships Me,,h,,,,
C.J. Stroud,5425,3392,26,QB,49,4408.5,4028.97,42,-19.47,NA,NA,NA,Howling for Chubb,,me,,,,
Josh Jacobs,4780,3484,45,RB,48,4132,3876.84,43,-152.13,2019,1,24,Kissy Boy Jones,,f,,,,
Dak Prescott,5242,3148,38,QB,54,4195,3807.54,44,-69.3,2016,4,135,DirtyDan113,,e,,,,
Najee Harris,4657,3332,51,RB,50,3994.5,3735.93,45,-71.61,2021,1,24,The Serle Brothers,,d,,,,
Tua Tagovailoa,4802,3168,43,QB,52,3985,3675.54,46,-60.39,2020,1,5,The Millennium Beer,,c,,,,
Rhamondre Stevenson,4576,3262,55,RB,51,3919,3663,47,-12.54,2021,4,120,A Team of Chance,,b,,,,
Daniel Jones,4593,3045,54,QB,57,3819,3525.39,48,-137.61,2019,1,6,Pablo and the Stallions,,a,,,,
Tony Pollard,4712,2968,46,RB,60,3840,3513.84,49,-11.55,2019,4,128,The Scene Worships Me,,a,,,,
T.J. Hockenson,4540,3051,57,TE,56,3795.5,3511.86,50,-1.98,2019,1,8,JoJos Bizzare Massage,,b,,,,
Nick Chubb,4373,3118,60,RB,55,3745.5,3500.97,51,-10.89,2018,2,35,Howling for Chubb,,c,,,,
Jordan Addison,4645,2963,52,WR,61,3804,3488.43,52,-12.54,NA,NA,NA,The Serle Brothers,,d,,,,
Javonte Williams,4447,2979,58,RB,59,3713,3433.65,53,-54.78,2021,2,35,The Millennium Beer,,e,,,,
D.J. Moore,4394,2856,59,WR,64,3625,3334.98,54,-98.67,2018,1,24,The Scene Worships Me,,f,,,,
J.K. Dobbins,4216,2935,72,RB,62,3575.5,3328.38,55,-6.6,2020,2,55,Pablo and the Stallions,,me,,,,
Michael Pittman,4318,2866,61,WR,63,3592,3316.5,56,-11.88,2020,2,34,Kissy Boy Jones,,h,,,,
Deebo Samuel,4291,2786,64,WR,66,3538.5,3254.79,57,-61.71,2019,2,36,DirtyDan113,,i,,,,
Christian Watson,4555,2653,56,WR,76,3604,3254.13,58,-0.66,2022,2,34,JoJos Bizzare Massage,,j,,,,
George Kittle,4200,2812,73,TE,65,3506,3241.92,59,-12.21,2017,5,146,DirtyDan113,,k,,,,
Jahan Dotson,4291,2739,65,WR,68,3515,3223.77,60,-18.15,2022,1,16,JoJos Bizzare Massage,,l,,,,
Treylon Burks,4307,2705,63,WR,71,3506,3206.61,61,-17.16,2022,1,18,JoJos Bizzare Massage,,l,,,,
