player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,
Josh Allen,10000,10000,1,QB,1,10000,9900,1,NA,2018,1,7,The Scene Worships Me,CJ,15739.5,1325.33333333333,,
Patrick Mahomes,9998,9790,2,QB,2,9894,9760.74,2,-139.259999999998,2017,1,10,Pablo and the Stallions,Damar,15712.5,1298.33333333333,,
C.J. Stroud,9672,8492,3,QB,4,9082,8796.48,3,-964.260000000002,NA,NA,NA,Howling for Chubb,Erik,14879,464.833333333334,,
Justin Jefferson,9593,8509,4,WR,3,9051,8781.63,4,-14.8499999999985,2020,1,22,The Serle Brothers,Anthony,14887,472.833333333334,,14414.1666666667
CeeDee Lamb,8611,7820,6,WR,6,8215.5,8002.83,5,-778.800000000001,2020,1,17,A Team of Chance,James,14084,-330.166666666666,,
Ja'Marr Chase,8704,7739,5,WR,8,8221.5,7980.06,6,-22.7699999999986,2021,1,5,The Serle Brothers,Erik G,13881,-533.166666666666,,
Lamar Jackson,8520,7809,7,QB,7,8164.5,7965.54,7,-14.5200000000004,2018,1,32,DirtyDan113,Brian,14284.5,-129.666666666666,,
Jalen Hurts,8264,7872,8,QB,5,8068,7922.64,8,-42.8999999999996,2020,2,53,A Team of Chance,Pace,14208.5,-205.666666666666,,
Joe Burrow,7993,7043,9,QB,9,7518,7286.07,9,-636.570000000002,2020,1,1,JoJos Bizzare Massage,Grayson,13881,-533.166666666666,,
Amon-Ra St. Brown,7766,6721,10,WR,10,7243.5,6998.64,10,-287.429999999999,2021,4,112,The Millennium Beer,Dwass,13883.5,-530.666666666666,,
Justin Herbert,7529,6523,14,QB,11,7026,6789.75,11,-208.890000000001,2020,1,6,Kissy Boy Jones,Blake,13707.5,-706.666666666666,,
Bijan Robinson,7614,6463,11,RB,12,7038.5,6778.2,12,-11.5499999999993,NA,NA,NA,Howling for Chubb,Menyeezy,13822,-592.166666666666,,
Caleb Williams,7552,6015,12,QB,14,6783.5,6462.06,13,-316.14,NA,NA,NA,NA,Menyeezy,,,,
Marvin Harrison Jr.,7529,5834,13,WR,16,6681.5,6335.01,14,-127.05,NA,NA,NA,NA,Blake,,,,
Anthony Richardson,7398,5882,15,QB,15,6640,6323.46,15,-11.5499999999993,NA,NA,NA,The Serle Brothers,Dwass,,,,
Breece Hall,6976,5750,19,RB,17,6363,6097.08,16,-226.380000000001,2022,2,36,The Scene Worships Me,Grayson,,,,
