player_name,age,value,posRank
Josh Allen,26.7,11395,QB1
Patrick Mahomes,27.4,11154,QB2
Justin Jefferson,23.6,8451,WR1
Ja'Marr Chase,22.9,8416,WR2
Joe Burrow,26.1,8401,QB3
Jalen Hurts,24.5,8186,QB4
Justin Herbert,24.9,7785,QB5
Lamar Jackson,26.1,6510,QB6
Trevor Lawrence,23.3,6457,QB7
A.J. Brown,25.6,6242,WR3
Justin Fields,23.9,6028,QB8
CeeDee Lamb,23.8,5997,WR4
Jaylen Waddle,24.2,5826,WR5
Breece Hall,21.7,5492,RB1
Tee Higgins,24,5483,WR6
Amon-Ra St. Brown,23.3,5480,WR7
Christian McCaffrey,26.6,5388,RB2
Tyreek Hill,28.9,5190,WR8
Kyler Murray,25.5,5163,QB9
Austin Ekeler,27.7,5151,RB3
Jonathan Taylor,24,5018,RB4
DK Metcalf,25.1,4958,WR9
Saquon Barkley,26,4956,RB5
Deshaun Watson,27.4,4940,QB10
Stefon Diggs,29.2,4889,WR10
Dak Prescott,29.5,4794,QB11
Garrett Wilson,22.5,4759,WR11
Kyle Pitts,22.3,4660,TE1
Tua Tagovailoa,24.9,4632,QB12
Travis Kelce,33.3,4616,TE2
Kenneth Walker,22.3,4615,RB6
Mark Andrews,27.4,4565,TE3
Josh Jacobs,25,4395,RB7
Travis Etienne,24,4356,RB8
Cooper Kupp,29.6,4310,WR12
Drake London,21.5,4291,WR13
Davante Adams,30.1,4242,WR14
Chris Olave,22.6,4150,WR15
Nick Chubb,27.1,4015,RB9
T.J. Hockenson,25.6,3956,TE4
Trey Lance,22.7,3849,QB13
George Kittle,29.3,3841,TE5
DeVonta Smith,24.2,3801,WR16
Joe Mixon,26.5,3651,RB10
Rhamondre Stevenson,24.9,3597,RB11
Najee Harris,24.9,3582,RB12
D'Andre Swift,24,3554,RB13
DJ Moore,25.8,3553,WR17
Chris Godwin,26.9,3484,WR18
Javonte Williams,22.8,3401,RB14
Deebo Samuel,27,3400,WR19
2023 Round 1,NA,3381,PICK1
Michael Pittman,25.3,3324,WR20
Derrick Henry,29.1,3276,RB15
George Pickens,21.9,3244,WR21
Terry McLaurin,27.4,3127,WR22
Kirk Cousins,34.4,3099,QB14
Dalvin Cook,27.5,3091,RB16
Jared Goff,28.3,3070,QB15
Tony Pollard,25.7,3046,RB17
Jameson Williams,21.8,3009,WR23
Derek Carr,31.8,2985,QB16
2024 Round 1,NA,2908,PICK2
