player_name,player_values
Patrick Mahomes,9999
Josh Allen,9941
Justin Jefferson,9626
Jalen Hurts,9606
Joe Burrow,9130
Ja'Marr Chase,8591
Justin Herbert,8163
Bijan Robinson,7874
Trevor Lawrence,7812
Lamar Jackson,7653
CeeDee Lamb,6793
Justin Fields,6765
Garrett Wilson,6755
A.J. Brown,6704
Jaylen Waddle,6321
Amon-Ra St. Brown,6206
Breece Hall,6196
Anthony Richardson,6187
Chris Olave,6060
Jonathan Taylor,5998
2024 Early 1st,5870
2023 Early 1st,5804
Christian McCaffrey,5763
Bryce Young,5739
DeVonta Smith,5593
Jahmyr Gibbs,5543
Deshaun Watson,5520
Tyreek Hill,5502
Tee Higgins,5501
Drake London,5500
Mark Andrews,5476
Kyle Pitts,5468
DK Metcalf,5466
C.J. Stroud,5461
Jaxon Smith-Njigba,5444
Saquon Barkley,5437
Kyler Murray,5436
Travis Kelce,5227
Stefon Diggs,5154
Dak Prescott,5145
Travis Etienne,5105
Kenneth Walker ,5086
Tua Tagovailoa,5023
Cooper Kupp,4914
Josh Jacobs,4905
2025 Early 1st,4900
2023 Mid 1st,4867
Daniel Jones,4850
2024 Mid 1st,4823
Jordan Addison,4817
Rhamondre Stevenson,4797
Davante Adams,4757
Najee Harris,4753
T.J. Hockenson,4743
Tony Pollard,4728
Austin Ekeler,4727
Christian Watson,4598
Nick Chubb,4589
Quentin Johnston,4549
D.J. Moore,4497
Treylon Burks,4497
Jahan Dotson,4430
Javonte Williams,4405
Jameson Williams,4374
Brandon Aiyuk,4371
Jordan Love,4368
Jerry Jeudy,4360
Michael Pittman,4328
George Pickens,4317
Terry McLaurin,4313
J.K. Dobbins,4306
Deebo Samuel,4304
2025 Mid 1st,4272
Zay Flowers,4255
2024 Late 1st,4253
Chris Godwin,4238
2023 Late 1st,4221
George Kittle,4157
Calvin Ridley,4151
Dalton Kincaid,4142
Kenny Pickett,4122
Dameon Pierce,4115
Marquise Brown,4113
Derrick Henry,4066
Christian Kirk,4037
2025 Late 1st,4016
Jared Goff,4015
Dallas Goedert,3993
Trey Lance,3981
Diontae Johnson,3980
Geno Smith,3969
Miles Sanders,3954
Zach Charbonnet,3941
D'Andre Swift,3935
Amari Cooper,3903
Kirk Cousins,3872
Pat Freiermuth,3869
Devon Achane,3795
Rachaad White,3784
Brock Purdy,3762
Russell Wilson,3651
Isiah Pacheco,3607
Cam Akers,3592
Derek Carr,3581
Rashod Bateman,3573
Kadarius Toney,3548
Kendre Miller,3536
Joe Mixon,3530
2023 Early 2nd,3498
Aaron Jones,3486
Michael Mayer,3465
Alexander Mattison,3454
Aaron Rodgers,3448
James Cook,3418
Sam LaPorta,3398
Will Levis,3351
Mac Jones,3341
2024 Early 2nd,3320
Desmond Ridder,3319
Mike Williams,3311
Mike Evans,3301
DeAndre Hopkins,3261
Elijah Moore,3258
Keenan Allen,3226
Jonathan Mingo,3208
Dalvin Cook,3170
Darren Waller,3155
Sam Howell,3090
David Montgomery,3084
2023 Mid 2nd,3073
Roschon Johnson,3071
Marvin Mims,3063
Brian Robinson,3059
AJ Dillon,3046
Chigoziem Okonkwo,3012
2024 Mid 2nd,2983
Antonio Gibson,2982
Josh Downs,2979
Evan Engram,2960
David Njoku,2953
Khalil Herbert,2942
Greg Dulcich,2935
Tank Bigsby,2909
Rashee Rice,2898
Tyler Lockett,2892
2025 Early 2nd,2892
Alvin Kamara,2887
Gabriel Davis,2878
Jayden Reed,2863
James Conner,2810
JuJu Smith-Schuster,2781
Wan'Dale Robinson,2753
Jalin Hyatt,2729
John Metchie,2716
Matthew Stafford,2699
Skyy Moore,2698
Dalton Schultz,2689
Cole Kmet,2689
2023 Late 2nd,2681
Jakobi Meyers,2664
Alec Pierce,2644
Darnell Mooney,2643
2025 Mid 2nd,2642
Tyjae Spears,2641
2024 Late 2nd,2600
Rondale Moore,2583
Courtland Sutton,2568
Trey McBride,2568
Romeo Doubs,2564
Brandin Cooks,2562
Isaiah Likely,2469
Tyler Allgeier,2464
Luke Musgrave,2443
Jimmy Garoppolo,2416
Damien Harris,2396
Elijah Mitchell,2392
Hendon Hooker,2388
Jamaal Williams,2375
2025 Late 2nd,2367
Nico Collins,2352
Rashaad Penny,2344
Chase Brown,2341
Chase Claypool,2292
Cedric Tillman,2255
Samaje Perine,2241
Allen Lazard,2217
Tyler Boyd,2213
Donovan Peoples-Jones,2205
Michael Thomas,2134
Devin Singletary,2129
Michael Gallup,2117
Dawson Knox,2104
Rashid Shaheed,2104
Jaylen Warren,2103
Zach Evans,2099
Nathaniel Dell,2096
Jerome Ford,2081
Odell Beckham,2073
Irv Smith Jr.,2068
Luke Schoonmaker,2068
D.J. Chark,2053
2023 Early 3rd,2053
Ryan Tannehill,1999
Israel Abanikanda,1998
Kenneth Gainwell,1996
Tyquan Thornton,1993
2024 Early 3rd,1993
Jelani Woods,1981
Isaiah Hodgins,1967
Baker Mayfield,1964
D'Onta Foreman,1959
Curtis Samuel,1958
Terrace Marshall,1946
Kayshon Boutte,1930
Noah Fant,1910
Hunter Renfrow,1909
Darnell Washington,1908
Michael Wilson,1907
Juwan Johnson,1904
Zay Jones,1899
Khalil Shakir,1897
2023 Mid 3rd,1872
Daniel Bellinger,1837
Mike Gesicki,1828
Clyde Edwards-Helaire,1828
Josh Palmer,1817
Sean Tucker,1812
Deuce Vaughn,1809
2024 Mid 3rd,1806
Chuba Hubbard,1805
Justyn Ross,1798
Tucker Kraft,1780
K.J. Osborn,1752
2023 Late 3rd,1736
DeWayne McBride,1728
Cade Otton,1726
2025 Early 3rd,1722
Zamir White,1700
Adam Thielen,1676
Jerick McKinnon,1632
Gerald Everett,1631
Michael Carter,1623
Greg Dortch,1605
Parris Campbell,1604
2025 Mid 3rd,1600
Jake Ferguson,1593
Xavier Hutchinson,1587
Bailey Zappe,1554
Ezekiel Elliott,1536
2024 Late 3rd,1533
Jeffery Wilson,1528
Kyle Trask,1525
Isaiah Spiller,1525
Puka Nacua,1521
Tyler Higbee,1520
2025 Late 3rd,1498
Darius Slayton,1490
Kareem Hunt,1486
Marquez Valdes-Scantling,1478
Keaontay Ingram,1456
Eric Gray,1456
Pierre Strong Jr.,1453
Zach Ertz,1435
Mecole Hardman,1435
Sam Darnold,1430
James Robinson,1421
Kyren Williams,1413
Stetson Bennett,1411
Van Jefferson,1408
Evan Hull,1405
Tyler Huntley,1404
Hayden Hurst,1400
