Player,Pos,Rnd,Pick,Age,To,year
Sam Bradford,QB,1,1,22,2018,2010
C.J. Spiller,RB,1,9,23,2017,2010
Ryan Mathews,RB,1,12,22,2016,2010
Jermaine Gresham,TE,1,21,22,2018,2010
Demaryius Thomas,WR,1,22,22,2019,2010
Dez Bryant,WR,1,24,21,2020,2010
Tim Tebow,QB,1,25,23,2012,2010
Jahvid Best,RB,1,30,21,2011,2010
Dexter McCluster,WR,2,36,21,2016,2010
Arrelious Benn,WR,2,39,21,2017,2010
Rob Gronkowski,TE,2,42,21,2021,2010
Jimmy Clausen,QB,2,48,22,2015,2010
Toby Gerhart,RB,2,51,23,2015,2010
Ben Tate,RB,2,58,22,2014,2010
Montario Hardesty,RB,2,59,23,2012,2010
Golden Tate,WR,2,60,22,2020,2010
Ed Dickson,TE,3,70,23,2018,2010
Damian Williams,WR,3,77,22,2014,2010
Brandon LaFell,WR,3,78,23,2018,2010
Emmanuel Sanders,WR,3,82,23,2021,2010
Jordan Shipley,WR,3,84,24,2012,2010
Colt McCoy,QB,3,85,24,2022,2010
Eric Decker,WR,3,87,23,2017,2010
Andre Roberts,WR,3,88,22,2022,2010
Armanti Edwards,WR,3,89,22,2013,2010
Taylor Price,WR,3,90,22,2011,2010
Tony Moeaki,TE,3,93,23,2015,2010
Jimmy Graham,TE,3,95,23,2021,2010
Mardy Gilyard,WR,4,99,23,2012,2010
Marcus Easley,WR,4,107,22,2015,2010
Jacoby Ford,WR,4,108,23,2013,2010
Joe McKnight,RB,4,112,22,2014,2010
Aaron Hernandez,TE,4,113,20,2012,2010
Dennis Pitta,TE,4,114,25,2016,2010
Garrett Graham,TE,4,118,24,2015,2010
Mike Kafka,QB,4,122,23,2011,2010
Clay Harbor,TE,4,125,23,2016,2010
Michael Hoomanawanui,TE,5,132,22,2017,2010
John Conner,RB,5,139,23,2014,2010
Andrew Quarless,TE,5,154,21,2015,2010
John Skelton,QB,5,155,22,2012,2010
David Reed,WR,5,156,23,2013,2010
Riley Cooper,WR,5,159,22,2015,2010
Brody Eldridge,TE,5,162,23,2011,2010
Kerry Meier,WR,5,165,23,2011,2010
Jonathan Crompton,QB,5,168,23,,2010
Fendi Onobun,TE,6,170,23,2011,2010
Anthony Dixon,RB,6,173,22,2015,2010
Dennis Morris,RB,6,174,,,2010
Rusty Smith,QB,6,176,23,2012,2010
Carlton Mitchell,WR,6,177,22,2011,2010
Deji Karim,RB,6,180,23,2013,2010
Dan LeFevour,QB,6,181,23,,2010
Nate Byham,TE,6,182,22,2013,2010
Anthony McCoy,TE,6,185,22,2015,2010
Jonathan Dwyer,RB,6,188,21,2014,2010
Dezmon Briscoe,WR,6,191,21,2012,2010
