player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name
Patrick Mahomes,10000,10000,1,QB,1,10000,9900,1,NA,2017,1,10,Pablo and the Stallions
Josh Allen,9841,8726,3,QB,2,9283.5,9006.69,2,-893.3099999999995,2018,1,7,The Scene Worships Me
Justin Jefferson,9995,8267,2,WR,3,9131,8754.57,3,-252.1200000000008,2020,1,22,The Serle Brothers
Jalen Hurts,9496,8232,4,QB,4,8864,8566.8,4,-187.77000000000044,2020,2,53,A Team of Chance
Joe Burrow,9032,7444,5,QB,5,8238,7893.6,5,-673.1999999999989,2020,1,1,JoJos Bizzare Massage
Ja'Marr Chase,8996,7281,6,WR,6,8138.5,7774.14,6,-119.46000000000004,2021,1,5,The Serle Brothers
Justin Herbert,8647,6926,7,QB,7,7786.5,7424.67,7,-349.47000000000025,2020,1,6,Kissy Boy Jones
Trevor Lawrence,7980,6282,9,QB,9,7131,6779.52,8,-645.1499999999996,2021,1,1,HorseWomen of Color
Lamar Jackson,7777,6241,10,QB,10,7009,6685.470000000001,9,-94.04999999999929,2018,1,32,DirtyDan113
Bijan Robinson,8018,5689,8,RB,11,6853.5,6400.68,10,-284.7900000000009,NA,NA,NA,Howling for Chubb
CeeDee Lamb,7275,5466,13,WR,12,6370.5,6008.3099999999995,11,-392.3700000000008,2020,1,17,A Team of Chance
Justin Fields,7294,4977,12,QB,13,6135.5,5691.84,12,-316.46999999999935,2021,1,11,Howling for Chubb
A.J. Brown,7088,4973,14,WR,14,6030.5,5621.22,13,-70.61999999999989,2019,2,51,JoJos Bizzare Massage
Amon-Ra St. Brown,7072,4821,15,WR,16,5946.5,5515.620000000001,14,-105.59999999999944,2021,4,112,The Millennium Beer
Anthony Richardson,6562,4787,18,QB,17,5674.5,5324.88,15,-190.7400000000007,NA,NA,NA,The Serle Brothers
Garrett Wilson,7423,4338,11,WR,19,5880.5,5312.67,16,-12.210000000000036,2022,1,10,Pablo and the Stallions
Jaylen Waddle,7063,4296,16,WR,20,5679.5,5166.15,17,-146.52000000000044,2021,1,6,DirtyDan113
Christian McCaffrey,6385,4345,21,RB,18,5365,4974.75,18,-191.39999999999964,2017,1,8,The Scene Worships Me
Chris Olave,6803,4015,17,WR,23,5409,4894.89,19,-79.85999999999967,2022,1,11,Kissy Boy Jones
Jahmyr Gibbs,6482,3923,19,RB,25,5202.5,4728.24,20,-166.65000000000057,NA,NA,NA,HorseWomen of Color
Tyreek Hill,6089,3873,24,WR,28,4981,4565.55,21,-162.6899999999996,2016,5,165,Kissy Boy Jones
Breece Hall,5955,3907,26,RB,26,4931,4543.77,22,-21.779999999999745,2022,2,36,The Scene Worships Me
DeVonta Smith,6309,3718,22,WR,30,5013.5,4535.85,23,-7.920000000000073,2021,1,10,Pablo and the Stallions
Travis Kelce,5830,3936,28,TE,24,4883,4521.66,24,-14.19000000000051,2013,3,63,HorseWomen of Color
Deshaun Watson,5561,4029,36,QB,22,4795,4494.27,25,-27.389999999999414,2017,1,12,JoJos Bizzare Massage
Bryce Young,5978,3686,25,QB,32,4832,4405.5,26,-88.77000000000044,NA,NA,NA,Kissy Boy Jones
Kyler Murray,5406,3881,40,QB,27,4643.5,4345.4400000000005,27,-60.05999999999949,2019,1,1,The Serle Brothers
Mark Andrews,5628,3702,35,TE,31,4665,4300.56,28,-44.88000000000011,2018,3,86,HorseWomen of Color
Stefon Diggs,5666,3666,33,WR,33,4666,4289.34,29,-11.220000000000256,2015,5,146,HorseWomen of Color
Saquon Barkley,5762,3612,30,RB,35,4687,4285.38,30,-3.960000000000037,2018,1,2,HorseWomen of Color
