team_name,fc_position,total_value_by_position
A Team of Chance,QB,15268.11
A Team of Chance,RB,12317.58
A Team of Chance,TE,7860.93
A Team of Chance,WR,21006.480000000003
DirtyDan113,QB,10706.52
DirtyDan113,RB,21881.97
DirtyDan113,TE,6169.35
DirtyDan113,WR,17672.16
HorseWomen of Color,QB,8246.369999999999
HorseWomen of Color,RB,18233.16
HorseWomen of Color,TE,10746.78
HorseWomen of Color,WR,20302.59
Howling for Chubb,QB,16494.39
Howling for Chubb,RB,18584.61
Howling for Chubb,TE,4789.620000000001
Howling for Chubb,WR,21684.960000000003
JoJos Bizzare Massage,QB,22216.260000000002
JoJos Bizzare Massage,RB,16366.68
JoJos Bizzare Massage,TE,7843.110000000001
JoJos Bizzare Massage,WR,25103.760000000002
Kissy Boy Jones,QB,16135.02
Kissy Boy Jones,RB,15635.400000000001
Kissy Boy Jones,TE,5976.96
Kissy Boy Jones,WR,25304.07
Pablo and the Stallions,QB,17279.13
Pablo and the Stallions,RB,12678.93
Pablo and the Stallions,TE,8629.5
Pablo and the Stallions,WR,26531.34
The Millennium Beer,QB,10615.44
The Millennium Beer,RB,16566.33
The Millennium Beer,TE,6006.99
The Millennium Beer,WR,19749.510000000002
The Scene Worships Me,QB,15399.12
The Scene Worships Me,RB,22667.370000000003
The Scene Worships Me,TE,3427.38
The Scene Worships Me,WR,24310.11
The Serle Brothers,QB,13376.55
The Serle Brothers,RB,11527.23
The Serle Brothers,TE,4518.36
The Serle Brothers,WR,30290.04
