player_name,player_name_combined
A.J. Green,
Adam Trautman,
Ameer Abdullah,
Andre Roberts,
Andy Isabella,
Anthony McFarland Jr.,
Anthony Schwartz,
Benny Snell Jr.,
Blaine Gabbert,
Blake Bell,
Boston Scott,
Brandon Allen,
Braxton Berrios,
Breshad Perriman,
Bryan Edwards,
Brycen Hopkins,
C.J. Beathard,
C.J. Uzomah,
Cedrick Wilson Jr.,
Charlie Woerner,
Chris Conley,
Chris Moore,
Colby Parkinson,
Cornell Powell,
Cullen Gillaspia,
D.K. Metcalf,DK Metcalf
D'Wayne Eskridge,
Dante Pettis,
Darrynton Evans,
David Johnson,
Davis Webb,
Dax Milne,
DeeJay Dallas,
Demetric Felton,
Devin Asiasi,
Dez Fitzpatrick,
Dezmon Patmon,
DJ Chark,D.J. Chark
Drew Sample,
Duke Johnson,
Durham Smythe,
Dwayne Washington,
Equanimeous St. Brown,
Eric Saubert,
Frank Darby,
Freddie Swain,
Gardner Minshew II,
Gary Brightwell,
Geoff Swaim,
Giovani Bernard,
Hunter Long,
Ian Thomas,
Ihmir Smith-Marsette,
Jacob Eason,
Jacob Harris,
Jaelon Darden,
Jake Funk,
Jalen Camp,
Jalen Reagor,
James Proche,
James Washington,
Jamison Crowder,
Jauan Jennings,
Javon Wims,
Jeff Driskel,
Jesse James,
John Bates,
John Brown,
John Kelly,
Jonathan Williams,
Jordan Akins,
Jordan Howard,
Jordan Wilkins,
Josh Oliver,
Joshua Dobbs,
Josiah Deguara,
Justice Hill,
Justin Jackson,
Justin Watson,
Juwann Winfree,
Ke'Shawn Vaughn,
Keke Coutee,
Kene Nwangwu,
Kevin White,
Kyle Juszczyk,
Kyle Rudolph,
Kylin Hill,
Laquon Treadwell,
Larry Rountree,
Laviska Shenault Jr.,
Logan Woodside,
Luke Farrell,
Lynn Bowden Jr.,
Mark Ingram,
Marlon Mack,
Marquise Goodwin,
Mason Schreck,
Maxx Williams,
Michael Pittman Jr.,Michael Pittman
Mike Davis,
Mike Strachan,
Mike Thomas,
Miles Boykin,
MyCole Pruitt,
Myles Gaskin,
N'Keal Harry,
Nate Sudfeld,
Nathan Peterman,
Nelson Agholor,
Nick Boyle,
Nick Foles,
Nick Vannett,
O.J. Howard,
Pharoh Cooper,
Phillip Dorsett,
Qadree Ollison,
Quintez Cephus,
Racey McMath,
Randall Cobb,
Rashard Higgins,
Ray-Ray McCloud,
Rex Burkhead,
Richard Rodgers,
Ronald Jones II,
Royce Freeman,
Ryan Griffin,
Sammy Watkins,
Scott Miller,
Shi Smith,
Simi Fehoko,
Sony Michel,
Stephen Sullivan,
T.Y. Hilton,
Taiwan Jones,
Terrace Marshall Jr.,
Tevin Coleman,
Tommy Sweeney,
Trace McSorley,
Travis Homer,
Trayveon Williams,
Tre' McKitty,
Tre'Quan Smith,
Tremon Smith,
Trent Taylor,
Trenton Cannon,
Trevon Wesco,
Trevor Siemian,
Ty Johnson,
Ty Montgomery,
Tylan Wallace,
Tyler Davis,
Tyler Johnson,
Tyler Kroft,
Tyrie Cleveland,
Tyrod Taylor,
Zach Gentry,
Kenneth Walker III,Kenneth Walker
