player_name,age,value,posRank
DJ Moore,25.8,3269,WR19
Gabe Davis,23.8,2232,WR38
Tyler Allgeierarrow_circle_up,22.8,1887,RB32
Joshua Palmer,23.3,1497,WR53
Jeff Wilson,27.2,1094,RB47
DJ Chark,26.3,1054,WR63
Teddy Bridgewaterarrow_circle_up,30.2,379,QB46
Irv Smith,24.5,360,TE34
Hassan Haskinsarrow_circle_up,23.2,349,RB61
Nick Foles,34,203,QB51
John Wolford,27.3,139,QB52
Bryce Perkins,26.1,96,QB53
Pierre Strong,24.1,74,RB75
Brett Rypien,26.5,38,QB57
Raheem Blackshear,23.6,13,RB88
Mark Ingram,33.1,8,RB94
Mitch Trubisky,28.4,6,QB60
Justin Watson,27.8,5,WR121
PJ Walker,27.9,2,QB61
Samori Toure,24.8,1,WR124
