Name,Team,Trade Value,SF Value,Value Change
Josh Allen,BUF,37,83,-1 / -
Patrick Mahomes II,KC,37,83,+1 / -
Joe Burrow,CIN,34,79,+1 / +1
Jalen Hurts,PHI,34,79,+1 / +1
Justin Herbert,LAC,30,74,-1 / -2
Justin Fields,CHI,29,72,+2 / +2
Trevor Lawrence,JAC,27,70,+1 / +2
Lamar Jackson,BAL,26,68,-1 / -1
Kyler Murray,ARI,22,62,+1 / +2
Dak Prescott,DAL,22,62,-3 / -5
Deshaun Watson,CLE,21,60,-1 / -1
Tua Tagovailoa,MIA,19,57,-2 / -3
Trey Lance,SF,17,53,-1 / -3
Bryce Young,FA,16,52,New
Kirk Cousins,MIN,16,51,- / -
C.J. Stroud,FA,15,50,New
Daniel Jones,NYG,13,45,- / -
Will Levis,FA,11,42,New
Aaron Rodgers,GB,11,42,-3 / -5
Anthony Richardson,FA,10,39,New
Derek Carr,LV,10,38,-3 / -7
Jared Goff,DET,9,37,-4 / -9
Geno Smith,SEA,9,37,-4 / -8
Mac Jones,NE,8,34,-2 / -4
Kenny Pickett,PIT,6,29,-3 / -8
Russell Wilson,DEN,6,28,-1 / -2
Matthew Stafford,LAR,4,21,-3 / -11
Ryan Tannehill,TEN,3,19,-3 / -10
Jimmy Garoppolo,SF,2,15,-2 / -8
Carson Wentz,WAS,2,13,-2 / -10
Jordan Love,GB,2,12,- / +2
Malik Willis,TEN,2,11,-4 / -17
Brock Purdy,SF,2,10,- / +1
Mike White,NYJ,1,6,-1 / -10
Jameis Winston,NO,1,6,-1 / -9
Zach Wilson,NYJ,1,5,-1 / -6
Desmond Ridder,ATL,1.0000,4,-1 / -9
Sam Darnold,CAR,1,4,-1 / -10
Baker Mayfield,LAR,1,4,-1 / -6
Sam Howell,WAS,1,4,New
Bailey Zappe,NE,1,4,-1 / -5
Jacoby Brissett,CLE,1,4,- / -4
All Other QBs,,1,2,
