Name,Team,Trade Value,SF Value,Value Change
Josh Allen,BUF,37,83,- / -
Patrick Mahomes II,KC,37,83,- / -
Jalen Hurts,PHI,34,80,- / -
Joe Burrow,CIN,33,78,- / -
Justin Fields,CHI,30,73,+1 / +1
Justin Herbert,LAC,29,72,-1 / -2
Trevor Lawrence,JAC,28,71,+1 / +1
Lamar Jackson,BAL,26,68,- / -
Deshaun Watson,CLE,22,62,- / -
Dak Prescott,DAL,22,61,- / -
Kyler Murray,ARI,21,60,-1 / -2
C.J. Stroud,FA,18,54,+2 / +4
Bryce Young,FA,17,53,- / -
Tua Tagovailoa,MIA,17,53,-2 / -3
Trey Lance,SF,16,52,- / +1
Anthony Richardson,FA,14,47,+3 / +6
Kirk Cousins,MIN,14,47,-2 / -3
Daniel Jones,NYG,12,43,-1 / -2
Will Levis,FA,11,41,- / -
Aaron Rodgers,GB,11,41,- / -
Geno Smith,SEA,9,37,- / -
Jared Goff,DET,9,37,- / -
Derek Carr,FA,9,36,- / -
Russell Wilson,DEN,8,34,+1 / +2
Mac Jones,NE,7,32,-1 / -2
Kenny Pickett,PIT,6,30,- / -
Matthew Stafford,LAR,4,23,- / +2
Ryan Tannehill,TEN,4,21,+1 / +2
Jordan Love,GB,3,18,- / +1
Jimmy Garoppolo,SF,2,16,- / +1
Brock Purdy,SF,2,15,- / +4
Carson Wentz,WAS,2,12,- / -2
Sam Howell,WAS,2,11,- / -1
Malik Willis,TEN,2,11,- / -1
Zach Wilson,NYJ,1,7,- / +1
Desmond Ridder,ATL,1,6,- / +1
Hendon Hooker,FA,1,6,- / +2
Jameis Winston,NO,1,6,- / -
Baker Mayfield,LAR,1,5,- / -
Sam Darnold,CAR,1,4,- / -1
Mike White,NYJ,1,4,- / -1
Bailey Zappe,NE,1,4,- / -
Jacoby Brissett,CLE,1,4,- / -
All Other QBs,,1,2,
