Name,Team,Trade Value,Value Change
Jonathan Taylor,IND,73,-
Bijan Robinson,FA,70,New
Kenneth Walker III,SEA,68,-
Saquon Barkley,NYG,67,-1
Breece Hall,NYJ,66,+2
Christian McCaffrey,SF,64,-2
Travis Etienne Jr.,JAC,61,-3
Rhamondre Stevenson,NE,60,-2
Josh Jacobs,LV,55,-3
Nick Chubb,CLE,54,-3
Austin Ekeler,LAC,53,-2
Javonte Williams,DEN,53,-2
Tony Pollard,DAL,51,-3
Najee Harris,PIT,51,-2
D'Andre Swift,DET,48,-4
Derrick Henry,TEN,43,-1
Joe Mixon,CIN,41,-3
Jahmyr Gibbs,FA,41,New
Aaron Jones,GB,38,-1
Dalvin Cook,MIN,38,-5
J.K. Dobbins,BAL,37,-2
Miles Sanders,PHI,34,-5
Dameon Pierce,HOU,31,-7
Rachaad White,TB,31,-4
Cam Akers,LAR,31,-
AJ Dillon,GB,29,-2
Alvin Kamara,NO,29,-4
Brian Robinson Jr.,WAS,28,-4
James Cook,BUF,26,-1
Zach Charbonnet,FA,26,New
Evan Hull,FA,25,New
Antonio Gibson,WAS,24,-7
Devon Achane,FA,24,New
Khalil Herbert,CHI,23,-3
David Montgomery,CHI,21,-4
Kareem Hunt,CLE,21,-5
James Conner,ARI,20,-5
Tyler Allgeier,ATL,19,+1
Isiah Pacheco,KC,16,-5
Leonard Fournette,TB,14,-9
Ezekiel Elliott,DAL,13,-8
Devin Singletary,BUF,11,-8
Tank Bigsby,FA,11,New
Kendre Miller,FA,10,New
DeWayne McBride,FA,10,New
Sean Tucker,FA,10,New
Zach Evans,FA,9,New
Damien Harris,NE,9,-6
Alexander Mattison,MIN,7,-5
Jamaal Williams,DET,6,-5
Elijah Mitchell,SF,5,-7
Israel Abanikanda,FA,5,New
Michael Carter,NYJ,5,-8
Kenneth Gainwell,PHI,5,-6
D'Onta Foreman,CAR,4,-6
Chuba Hubbard,CAR,4,-4
Jaylen Warren,PIT,3,-6
Roschon Johnson,FA,3,New
Jeff Wilson Jr.,MIA,3,-7
Clyde Edwards-Helaire,KC,3,-5
Deuce Vaughn,FA,2,New
Gus Edwards,BAL,2,-6
Jerick McKinnon,KC,2,-5
Chase Brown,FA,2,New
Kenny McIntosh,FA,2,New
Zamir White,LV,2,-3
Rashaad Penny,SEA,2,-2
James Robinson,NYJ,2,-3
Pierre Strong Jr.,NE,2,-2
Samaje Perine,CIN,2,-1
Eric Gray,FA,2,New
Cordarrelle Patterson,ATL,2,-2
Kyren Williams,LAR,2,-1
Isaiah Spiller,LAC,2,-1
Camerun Peoples,FA,2,New
Raheem Mostert,MIA,2,-1
Latavius Murray,DEN,2,-1
Tyrion Davis-Price,SF,2,-2
Joshua Kelley,LAC,2,-1
Zonovan Knight,NYJ,2,-6
Hassan Haskins,TEN,2,-
Chase Edmonds,DEN,2,-
Tyjae Spears,FA,2,New
D'Ernest Johnson,CLE,2,-
Mohamed Ibrahim,FA,2,New
Nyheim Hines,BUF,2,-
Keaontay Ingram,ARI,2,-
Jordan Mason,SF,2,New
All Other RBs,,1,
