Name,Team,Trade Value,Value Change
Jonathan Taylor,IND,73,-
Bijan Robinson,FA,70,-
Kenneth Walker III,SEA,68,-
Saquon Barkley,NYG,67,-
Breece Hall,NYJ,66,-
Christian McCaffrey,SF,64,-
Travis Etienne Jr.,JAC,61,-
Rhamondre Stevenson,NE,58,-2
Josh Jacobs,LV,54,-1
Austin Ekeler,LAC,54,+1
Nick Chubb,CLE,54,-
Javonte Williams,DEN,52,-1
Tony Pollard,DAL,51,-
Najee Harris,PIT,50,-
D'Andre Swift,DET,47,-
Jahmyr Gibbs,FA,44,+2
Derrick Henry,TEN,42,-1
Joe Mixon,CIN,40,-1
Aaron Jones,GB,39,-
J.K. Dobbins,BAL,38,-
Dalvin Cook,MIN,37,-
Cam Akers,LAR,35,+1
Miles Sanders,PHI,32,-
Dameon Pierce,HOU,30,-1
Rachaad White,TB,27,-3
Zach Charbonnet,FA,27,-
AJ Dillon,GB,27,-1
James Cook,BUF,27,-1
Alvin Kamara,NO,26,-1
Brian Robinson Jr.,WAS,24,-3
Khalil Herbert,CHI,24,-
Antonio Gibson,WAS,23,-1
Tyler Allgeier,ATL,21,-2
Devon Achane,FA,21,-2
Isiah Pacheco,KC,20,-2
David Montgomery,CHI,19,-1
Roschon Johnson,FA,18,+8
James Conner,ARI,16,-3
Kareem Hunt,CLE,13,-4
Tyjae Spears,FA,12,+6
Tank Bigsby,FA,12,+1
Zach Evans,FA,11,+2
Kendre Miller,FA,10,-1
Leonard Fournette,TB,9,-
Israel Abanikanda,FA,9,+1
Damien Harris,NE,9,-
DeWayne McBride,FA,9,+3
Devin Singletary,BUF,8,-3
Ezekiel Elliott,DAL,7,-1
Sean Tucker,FA,7,-3
Kenneth Gainwell,PHI,7,+1
Alexander Mattison,MIN,6,-1
Evan Hull,FA,6,+1
Jamaal Williams,DET,6,+1
Elijah Mitchell,SF,5,-1
Michael Carter,NYJ,4,-1
Chuba Hubbard,CAR,4,-
D'Onta Foreman,CAR,4,-
Jaylen Warren,PIT,4,+1
Jeff Wilson Jr.,MIA,3,-
Kenny McIntosh,FA,3,+1
Rashaad Penny,SEA,2,-
Eric Gray,FA,2,-
Deuce Vaughn,FA,2,-
Clyde Edwards-Helaire,KC,2,-
Jerick McKinnon,KC,2,-
Pierre Strong Jr.,NE,2,-
Zamir White,LV,2,-
Gus Edwards,BAL,2,-
James Robinson,NYJ,2,-
Samaje Perine,CIN,2,-
Cordarrelle Patterson,ATL,2,-
Chase Brown,FA,2,-
Raheem Mostert,MIA,2,-
Joshua Kelley,LAC,2,-
Isaiah Spiller,LAC,2,-
Latavius Murray,DEN,2,-
Zonovan Knight,NYJ,2,-
Camerun Peoples,FA,2,-
Chase Edmonds,DEN,2,-
D'Ernest Johnson,CLE,2,-
Hassan Haskins,TEN,2,-
Jordan Mason,SF,2,-
Kyren Williams,LAR,2,-
Tyrion Davis-Price,SF,2,-
JaMycal Hasty,JAC,2,New
Nyheim Hines,BUF,2,-
Keaontay Ingram,ARI,2,-
All Other RBs,,1,
