Name,Team,Trade Value,Value Change
Kyle Pitts,ATL,55,+2
Travis Kelce,KC,53,-2
Mark Andrews,BAL,51,+2
T.J. Hockenson,MIN,38,-
Dallas Goedert,PHI,36,-
George Kittle,SF,34,-
David Njoku,CLE,32,+2
Pat Freiermuth,PIT,30,-2
Michael Mayer,FA,28,New
Greg Dulcich,DEN,27,-
Dalton Schultz,DAL,25,-
Cole Kmet,CHI,23,-
Evan Engram,JAC,22,-6
Trey McBride,ARI,20,+3
Darren Waller,LV,19,-3
Dalton Kincaid,FA,17,New
Gerald Everett,LAC,16,-4
Jelani Woods,IND,15,-
Tyler Higbee,LAR,13,-6
Luke Musgrave,FA,12,New
Juwan Johnson,NO,11,-
Isaiah Likely,BAL,10,+1
Dawson Knox,BUF,9,-3
Chigoziem Okonkwo,TEN,8,-2
Noah Fant,SEA,7,-
Cade Otton,TB,7,-9
Daniel Bellinger,NYG,6,-7
Zach Ertz,ARI,5,-3
Hunter Henry,NE,5,-2
Mike Gesicki,MIA,4,-1
Taysom Hill,NO,4,-2
Darnell Washington,FA,3,New
Hayden Hurst,CIN,3,-
Tyler Conklin,NYJ,3,-1
Irv Smith Jr.,MIN,2,-1
Jake Ferguson,DAL,2,-1
Robert Tonyan,GB,2,-2
Charlie Kolar,BAL,2,-
Logan Thomas,WAS,2,-
Kylen Granson,IND,2,-
Foster Moreau,LV,2,-
Harrison Bryant,CLE,2,-
Albert Okwuegbunam,DEN,2,New
C.J. Uzomah,NYJ,2,-
Austin Hooper,TEN,2,-
Jeremy Ruckert,NYJ,2,-
All Other TEs,,1,-
