Name,Team,Trade Value,Value Change
Kyle Pitts,ATL,55,-
Travis Kelce,KC,53,-
Mark Andrews,BAL,51,-
T.J. Hockenson,MIN,38,-
Dallas Goedert,PHI,36,-
George Kittle,SF,34,-
Pat Freiermuth,PIT,32,+2
David Njoku,CLE,30,-2
Greg Dulcich,DEN,28,+1
Evan Engram,JAC,27,+5
Michael Mayer,FA,25,-3
Chigoziem Okonkwo,TEN,23,+15
Dalton Schultz,DAL,22,-3
Dalton Kincaid,FA,20,-
Cole Kmet,CHI,19,-4
Jelani Woods,IND,17,+4
Trey McBride,ARI,16,-3
Darren Waller,LV,15,-2
Mike Gesicki,MIA,13,+9
Tyler Higbee,LAR,12,-3
Isaiah Likely,BAL,11,-
Juwan Johnson,NO,10,-
Gerald Everett,LAC,9,-3
Luke Musgrave,FA,8,-8
Dawson Knox,BUF,7,-2
Darnell Washington,FA,7,+4
Noah Fant,SEA,6,-1
Daniel Bellinger,NYG,5,-
Zach Ertz,ARI,5,-
Sam Laporta,FA,4,+1
Cade Otton,TB,4,-2
Noah Gray,KC,3,New
Hunter Henry,NE,3,-4
Tucker Kraft,FA,3,+1
Foster Moreau,LV,2,-
Taysom Hill,NO,2,-2
Irv Smith Jr.,MIN,2,-
Jake Ferguson,DAL,2,-
Tyler Conklin,NYJ,2,-1
Hayden Hurst,CIN,2,-
Albert Okwuegbunam,DEN,2,-
Harrison Bryant,CLE,2,-
Logan Thomas,WAS,2,-
Kylen Granson,IND,2,-
Robert Tonyan,GB,2,-
Charlie Kolar,BAL,2,-
All Other TEs,,1,-
