Name,Team,Trade Value,Value Change
Justin Jefferson,MIN,73,-
Ja'Marr Chase,CIN,72,-
CeeDee Lamb,DAL,70,-
A.J. Brown,PHI,69,-
Jaylen Waddle,MIA,67,-
Tyreek Hill,MIA,66,-
Amon-Ra St. Brown,DET,65,-
Stefon Diggs,BUF,63,-
Chris Olave,NO,62,+4
Davante Adams,LV,60,-2
Garrett Wilson,NYJ,59,-
Drake London,ATL,58,+3
Cooper Kupp,LAR,56,+2
DeVonta Smith,PHI,55,+3
DK Metcalf,SEA,54,-2
Tee Higgins,CIN,52,-8
Christian Watson,GB,51,-
Michael Pittman Jr.,IND,50,-
Chris Godwin,TB,49,-
Jameson Williams,DET,48,-
Jaxon Smith-Njigba,FA,46,New
DJ Moore,CAR,45,+3
Brandon Aiyuk,SF,44,-
Terry McLaurin,WAS,43,-
Jordan Addison,FA,42,New
Deebo Samuel,SF,41,-4
Treylon Burks,TEN,40,-6
Quentin Johnston,FA,38,New
Jahan Dotson,WAS,37,-4
Jerry Jeudy,DEN,36,+2
Diontae Johnson,PIT,35,-2
Josh Downs,FA,34,New
Kayshon Boutte,FA,33,New
Marquise Brown,ARI,32,+1
Christian Kirk,JAC,31,-5
George Pickens,PIT,30,-8
Zay Flowers,FA,29,New
Rashod Bateman,BAL,29,-3
Puka Nacua,FA,28,New
Jalin Hyatt,FA,27,New
JuJu Smith-Schuster,KC,26,-9
Courtland Sutton,DEN,25,-8
Darnell Mooney,CHI,24,-4
Amari Cooper,CLE,23,-7
Calvin Ridley,JAC,23,-6
Mike Williams,LAC,22,-7
DeAndre Hopkins,ARI,21,-19
Mike Evans,TB,20,-7
Keenan Allen,LAC,19,-6
Kadarius Toney,KC,19,-5
Tyler Lockett,SEA,18,-8
Gabe Davis,BUF,17,-6
Rondale Moore,ARI,17,-6
Skyy Moore,KC,16,-6
Alec Pierce,IND,15,-6
Chase Claypool,CHI,15,-4
Jakobi Meyers,NE,14,-4
Elijah Moore,NYJ,13,-7
Wan'Dale Robinson,NYG,13,-6
Donovan Peoples-Jones,CLE,12,-5
Joshua Palmer,LAC,12,-4
Zay Jones,JAC,11,-6
Allen Lazard,GB,11,-4
DJ Chark Jr.,DET,10,-5
Tyquan Thornton,NE,10,-2
Andrei Iosivas,FA,9,New
Brandin Cooks,HOU,9,-4
Rashee Rice,FA,8,New
Cedric Tillman,FA,8,New
Curtis Samuel,WAS,8,-4
Terrace Marshall Jr.,CAR,7,-7
Marvin Mims,FA,7,New
Nico Collins,HOU,6,-7
Rashid Shaheed,NO,6,New
Romeo Doubs,GB,6,-5
Tyler Boyd,CIN,5,-6
Michael Thomas,NO,5,-3
Xavier Hutchinson,FA,5,New
Michael Gallup,DAL,5,-5
Rakim Jarrett,FA,4,New
Adam Thielen,MIN,4,-6
Darius Slayton,NYG,4,-5
Parris Campbell,IND,4,-5
Khalil Shakir,BUF,3,-5
Hunter Renfrow,LV,3,-5
Trey Palmer,FA,3,New
Allen Robinson II,LAR,3,-3
Isaiah Hodgins,NYG,3,New
David Bell,CLE,3,-4
Russell Gage,TB,3,-4
Calvin Austin III,PIT,3,-3
Odell Beckham Jr.,FA,2,-4
Isaiah McKenzie,BUF,2,-3
Marquez Valdes-Scantling,KC,2,-3
Dontayvion Wicks,FA,2,New
K.J. Osborn,MIN,2,-3
Joseph Ngata,FA,2,New
Mecole Hardman,KC,2,-2
Corey Davis,NYJ,2,-2
Van Jefferson,LAR,2,-2
A.T. Perry,FA,2,New
Parker Washington,FA,2,New
Charlie Jones,FA,2,New
Robert Woods,TEN,2,-3
DeVante Parker,NE,2,-
Jalen Tolbert,DAL,2,-1
KJ Hamler,DEN,2,-2
Laviska Shenault Jr.,CAR,2,-1
Julio Jones,TB,2,-1
Ben Skowronek,LAR,2,-1
Jarvis Landry,NO,2,-1
Olamide Zaccheaus,ATL,2,-1
Noah Brown,DAL,2,-1
Velus Jones Jr.,CHI,2,-
Jamison Crowder,BUF,2,-
All Other WRs,,1,-
