Name,Team,Trade Value,Value Change
Justin Jefferson,MIN,73,-
Ja'Marr Chase,CIN,72,-
CeeDee Lamb,DAL,70,-
A.J. Brown,PHI,69,-
Jaylen Waddle,MIA,67,-
Tyreek Hill,MIA,66,-
Amon-Ra St. Brown,DET,65,-
Stefon Diggs,BUF,63,-
Chris Olave,NO,62,-
Garrett Wilson,NYJ,60,-
Davante Adams,LV,59,-
Drake London,ATL,58,-
DeVonta Smith,PHI,56,-
Cooper Kupp,LAR,55,-
DK Metcalf,SEA,54,-
Tee Higgins,CIN,52,-
Jordan Addison,FA,51,+1
Christian Watson,GB,50,-1
Jaxon Smith-Njigba,FA,49,+1
Michael Pittman Jr.,IND,48,-1
Jameson Williams,DET,46,-
DJ Moore,CAR,45,+2
Brandon Aiyuk,SF,44,-
Chris Godwin,TB,43,-2
Terry McLaurin,WAS,42,-
Deebo Samuel,SF,41,-
Jerry Jeudy,DEN,40,+3
Treylon Burks,TEN,38,-2
Quentin Johnston,FA,37,-1
Jahan Dotson,WAS,36,-
Christian Kirk,JAC,35,-
Zay Flowers,FA,34,+4
Diontae Johnson,PIT,33,-1
Josh Downs,FA,32,-1
Courtland Sutton,DEN,31,+6
Marquise Brown,ARI,30,-2
Amari Cooper,CLE,29,-
Rashod Bateman,BAL,29,+2
George Pickens,PIT,28,-
Jalin Hyatt,FA,27,+1
JuJu Smith-Schuster,KC,26,-3
Kayshon Boutte,FA,25,-6
Kadarius Toney,KC,24,+4
DeAndre Hopkins,ARI,23,-
Mike Williams,LAC,23,+2
Calvin Ridley,JAC,22,-1
Mike Evans,TB,21,-1
Darnell Mooney,CHI,20,-4
Keenan Allen,LAC,19,-
Tyler Lockett,SEA,19,-
Skyy Moore,KC,18,+1
Rondale Moore,ARI,17,-
Jakobi Meyers,NE,17,+1
Gabe Davis,BUF,16,-2
Chase Claypool,CHI,15,+2
Nathaniel Dell,FA,15,New
Wan'Dale Robinson,NYG,14,-
Alec Pierce,IND,13,-2
Elijah Moore,NYJ,13,-2
Tyquan Thornton,NE,12,+2
Puka Nacua,FA,12,-
Donovan Peoples-Jones,CLE,11,-1
Rashid Shaheed,NO,11,+4
Joshua Palmer,LAC,10,-1
Zay Jones,JAC,10,-1
Xavier Hutchinson,FA,9,+6
Allen Lazard,GB,9,-
Rashee Rice,FA,8,-5
DJ Chark Jr.,DET,8,-2
Terrace Marshall Jr.,CAR,8,+1
Jayden Reed,FA,7,New
Nico Collins,HOU,7,-1
Brandin Cooks,HOU,6,-2
Khalil Shakir,BUF,6,+1
Dontayvion Wicks,FA,6,+4
Cedric Tillman,FA,5,-4
Michael Wilson,FA,5,-1
Curtis Samuel,WAS,5,-1
Romeo Doubs,GB,5,-1
Tyler Boyd,CIN,4,-1
Michael Gallup,DAL,4,-1
Trey Palmer,FA,4,+1
Isaiah Hodgins,NYG,4,+1
Michael Thomas,NO,3,-2
Parris Campbell,IND,3,-1
Adam Thielen,MIN,3,-1
Marvin Mims,FA,3,-5
Darius Slayton,NYG,3,-1
Andrei Iosivas,FA,3,-1
Allen Robinson II,LAR,3,-
David Bell,CLE,3,-
Calvin Austin III,PIT,2,-1
Hunter Renfrow,LV,2,-1
Marquez Valdes-Scantling,KC,2,-
Russell Gage,TB,2,-1
K.J. Osborn,MIN,2,-
Odell Beckham Jr.,FA,2,-
Rakim Jarrett,FA,2,-
Mecole Hardman,KC,2,-
Jalen Tolbert,DAL,2,-
Corey Davis,NYJ,2,-
Kyle Philips,TEN,2,New
Van Jefferson,LAR,2,-
Ben Skowronek,LAR,2,-
DeVante Parker,NE,2,-
Isaiah McKenzie,BUF,2,-
Robert Woods,FA,2,-
Jonathan Mingo,FA,2,New
A.T. Perry,FA,2,-
KJ Hamler,DEN,2,-
Laviska Shenault Jr.,CAR,2,-
Velus Jones Jr.,CHI,2,-
Jamison Crowder,BUF,2,-
John Metchie III,HOU,2,New
Olamide Zaccheaus,ATL,2,-
All Other WRs,,1,-
